Employee_ID,Hire_Date,Agency,Job_Grade,Employment_Type
NEW00000,2024-07-25,Sales,Mid,Full-time
NEW00001,2023-06-09,Marketing,Senior,Part-time
NEW00002,2023-09-09,IT,Senior,Full-time
NEW00003,2023-10-06,Sales,Manager,Full-time
NEW00004,2024-02-19,Finance,Manager,Full-time
NEW00005,2023-09-21,Operations,Senior,Full-time
NEW00006,2023-08-13,IT,Mid,Full-time
NEW00007,2023-04-11,Sales,Mid,Full-time
NEW00008,2024-08-03,Sales,Junior,Full-time
NEW00009,2024-09-30,Customer Service,Manager,Full-time
NEW00010,2023-11-18,Finance,Mid,Part-time
NEW00011,2023-06-07,Legal,Mid,Full-time
NEW00012,2024-01-15,Operations,Junior,Full-time
NEW00013,2024-05-18,Legal,Mid,Full-time
NEW00014,2023-08-29,Marketing,Junior,Part-time
NEW00015,2023-12-11,HR,Mid,Full-time
NEW00016,2023-03-26,Operations,Junior,Part-time
NEW00017,2023-01-09,HR,Mid,Full-time
NEW00018,2023-04-05,HR,Director,Full-time
NEW00019,2023-07-01,Finance,Junior,Temporary
NEW00020,2024-01-11,Sales,Mid,Full-time
NEW00021,2023-06-19,Marketing,Junior,Full-time
NEW00022,2024-08-19,Operations,Director,Full-time
NEW00023,2023-07-16,HR,Lead,Part-time
NEW00024,2024-05-17,Operations,Junior,Full-time
NEW00025,2024-06-22,Operations,Senior,Full-time
NEW00026,2023-03-08,Customer Service,Mid,Full-time
NEW00027,2024-10-20,Operations,Mid,Full-time
NEW00028,2023-10-18,Finance,Junior,Full-time
NEW00029,2023-06-16,Customer Service,Senior,Full-time
NEW00030,2024-06-05,Marketing,Junior,Part-time
NEW00031,2024-02-15,Legal,Senior,Full-time
NEW00032,2023-11-13,Sales,Junior,Full-time
NEW00033,2024-12-21,HR,Junior,Full-time
NEW00034,2023-05-01,HR,Junior,Full-time
NEW00035,2023-06-02,Operations,Junior,Full-time
NEW00036,2023-11-24,IT,Senior,Full-time
NEW00037,2023-05-06,Marketing,Manager,Full-time
NEW00038,2024-04-29,Finance,Junior,Full-time
NEW00039,2023-12-20,Operations,Junior,Part-time
NEW00040,2023-09-16,Legal,Junior,Full-time
NEW00041,2024-11-05,Legal,Senior,Contract
NEW00042,2024-04-05,HR,Senior,Part-time
NEW00043,2024-12-25,Legal,Mid,Temporary
NEW00044,2024-08-03,HR,Junior,Part-time
NEW00045,2023-09-14,Legal,Junior,Contract
NEW00046,2023-12-09,HR,Junior,Full-time
NEW00047,2024-06-09,Customer Service,Manager,Contract
NEW00048,2023-07-04,Legal,Junior,Full-time
NEW00049,2024-01-05,Sales,Senior,Full-time
NEW00050,2023-01-03,Operations,Mid,Part-time
NEW00051,2024-05-28,IT,Junior,Full-time
NEW00052,2024-11-05,Marketing,Mid,Contract
NEW00053,2024-08-27,IT,Mid,Contract
NEW00054,2023-02-10,Customer Service,Manager,Full-time
NEW00055,2023-10-25,Customer Service,Junior,Full-time
NEW00056,2024-02-22,Operations,Mid,Contract
NEW00057,2024-04-19,IT,Lead,Part-time
NEW00058,2023-08-17,Customer Service,Junior,Contract
NEW00059,2023-02-09,IT,Mid,Full-time
NEW00060,2024-02-09,Marketing,Junior,Full-time
NEW00061,2023-08-16,Customer Service,Junior,Full-time
NEW00062,2023-02-18,Operations,Senior,Full-time
NEW00063,2024-07-13,Legal,Junior,Contract
NEW00064,2024-10-17,Marketing,Senior,Full-time
NEW00065,2024-05-23,IT,Mid,Full-time
NEW00066,2023-04-29,IT,Lead,Full-time
NEW00067,2023-12-03,HR,Mid,Full-time
NEW00068,2024-12-02,Legal,Junior,Full-time
NEW00069,2024-05-06,Finance,Junior,Contract
NEW00070,2023-09-22,HR,Mid,Full-time
NEW00071,2024-03-01,HR,Lead,Full-time
NEW00072,2023-06-17,Sales,Junior,Contract
NEW00073,2023-11-13,Operations,Junior,Full-time
NEW00074,2023-05-05,Finance,Manager,Full-time
NEW00075,2023-10-04,HR,Junior,Full-time
NEW00076,2023-05-05,Customer Service,Mid,Full-time
NEW00077,2024-09-21,Marketing,Senior,Full-time
NEW00078,2023-04-05,Sales,Junior,Part-time
NEW00079,2024-07-12,Marketing,Senior,Contract
NEW00080,2024-09-27,Operations,Director,Full-time
NEW00081,2023-12-17,HR,Mid,Full-time
NEW00082,2023-07-18,Customer Service,Director,Part-time
NEW00083,2023-12-26,Finance,Junior,Full-time
NEW00084,2024-03-18,Operations,Senior,Part-time
NEW00085,2024-02-17,IT,Junior,Full-time
NEW00086,2024-05-10,Operations,Manager,Part-time
NEW00087,2024-11-03,Customer Service,Mid,Full-time
NEW00088,2023-11-26,Sales,Junior,Full-time
NEW00089,2024-04-08,IT,Junior,Full-time
NEW00090,2024-11-11,Sales,Mid,Full-time
NEW00091,2023-01-08,Sales,Lead,Full-time
NEW00092,2023-04-09,Operations,Mid,Full-time
NEW00093,2024-07-20,Sales,Junior,Part-time
NEW00094,2024-10-15,Sales,Junior,Full-time
NEW00095,2024-03-11,Marketing,Junior,Full-time
NEW00096,2023-11-04,HR,Mid,Part-time
NEW00097,2023-06-06,Marketing,Junior,Full-time
NEW00098,2023-03-18,Sales,Junior,Full-time
NEW00099,2023-11-04,Legal,Junior,Temporary
NEW00100,2023-12-02,HR,Senior,Contract
NEW00101,2024-06-21,Operations,Junior,Full-time
NEW00102,2023-09-28,Sales,Junior,Full-time
NEW00103,2024-08-13,IT,Mid,Full-time
NEW00104,2023-02-20,Marketing,Junior,Part-time
NEW00105,2024-07-08,Operations,Senior,Full-time
NEW00106,2024-08-14,Marketing,Lead,Full-time
NEW00107,2023-04-13,Legal,Senior,Full-time
NEW00108,2024-03-06,Operations,Mid,Full-time
NEW00109,2023-02-23,HR,Junior,Contract
NEW00110,2024-08-25,Finance,Junior,Full-time
NEW00111,2024-04-25,Sales,Mid,Full-time
NEW00112,2023-06-12,IT,Junior,Full-time
NEW00113,2024-10-26,Operations,Mid,Full-time
NEW00114,2023-08-12,HR,Junior,Temporary
NEW00115,2024-11-29,IT,Director,Full-time
NEW00116,2024-06-19,Marketing,Mid,Part-time
NEW00117,2023-07-12,Customer Service,Mid,Full-time
NEW00118,2023-08-05,Legal,Junior,Full-time
NEW00119,2023-12-19,HR,Mid,Full-time
NEW00120,2024-08-15,Marketing,Junior,Full-time
NEW00121,2023-05-08,Legal,Junior,Full-time
NEW00122,2023-01-02,Operations,Mid,Full-time
NEW00123,2023-09-17,HR,Mid,Part-time
NEW00124,2024-08-17,Operations,Manager,Full-time
NEW00125,2024-12-29,Finance,Junior,Full-time
NEW00126,2023-02-17,Operations,Mid,Full-time
NEW00127,2023-08-12,Marketing,Manager,Full-time
NEW00128,2024-10-29,IT,Senior,Part-time
NEW00129,2023-01-15,Legal,Junior,Full-time
NEW00130,2023-05-28,HR,Senior,Part-time
NEW00131,2024-01-13,Sales,Manager,Full-time
NEW00132,2024-06-15,Marketing,Mid,Full-time
NEW00133,2024-10-12,HR,Junior,Full-time
NEW00134,2024-11-12,IT,Mid,Contract
NEW00135,2024-03-23,Finance,Junior,Full-time
NEW00136,2023-06-12,Finance,Senior,Part-time
NEW00137,2024-04-14,Marketing,Junior,Full-time
NEW00138,2023-10-22,HR,Junior,Full-time
NEW00139,2023-01-15,Customer Service,Senior,Full-time
NEW00140,2024-08-23,Customer Service,Junior,Full-time
NEW00141,2024-04-05,IT,Mid,Full-time
NEW00142,2024-05-03,Legal,Junior,Full-time
NEW00143,2024-03-24,HR,Junior,Full-time
NEW00144,2024-05-12,Legal,Junior,Contract
NEW00145,2024-06-05,HR,Junior,Part-time
NEW00146,2024-06-18,Marketing,Mid,Full-time
NEW00147,2024-11-05,Marketing,Senior,Full-time
NEW00148,2024-08-03,Operations,Junior,Full-time
NEW00149,2023-09-08,HR,Mid,Temporary
NEW00150,2023-01-04,HR,Manager,Full-time
NEW00151,2024-12-07,Legal,Mid,Full-time
NEW00152,2023-07-18,HR,Junior,Full-time
NEW00153,2024-03-11,Marketing,Mid,Full-time
NEW00154,2023-07-24,Legal,Mid,Temporary
NEW00155,2024-08-01,Sales,Junior,Full-time
NEW00156,2023-07-20,IT,Junior,Contract
NEW00157,2024-01-01,Customer Service,Senior,Full-time
NEW00158,2024-05-19,IT,Mid,Full-time
NEW00159,2024-12-07,Operations,Junior,Contract
NEW00160,2023-08-25,Legal,Lead,Full-time
NEW00161,2024-02-27,Operations,Junior,Temporary
NEW00162,2024-07-15,Customer Service,Senior,Full-time
NEW00163,2023-08-08,IT,Junior,Full-time
NEW00164,2023-01-12,Legal,Junior,Full-time
NEW00165,2024-08-25,Customer Service,Lead,Full-time
NEW00166,2023-08-31,Operations,Junior,Full-time
NEW00167,2024-09-04,IT,Junior,Full-time
NEW00168,2024-07-08,HR,Mid,Full-time
NEW00169,2023-01-07,Customer Service,Senior,Full-time
NEW00170,2024-02-26,Sales,Junior,Full-time
NEW00171,2023-08-23,Marketing,Junior,Full-time
NEW00172,2024-01-01,Customer Service,Mid,Full-time
NEW00173,2023-04-10,Finance,Mid,Full-time
NEW00174,2023-06-10,IT,Senior,Part-time
NEW00175,2023-07-20,IT,Junior,Full-time
NEW00176,2023-03-04,Customer Service,Junior,Full-time
NEW00177,2023-05-01,IT,Junior,Part-time
NEW00178,2023-11-03,Legal,Junior,Full-time
NEW00179,2023-06-12,Customer Service,Junior,Full-time
NEW00180,2023-02-05,HR,Mid,Contract
NEW00181,2023-04-22,Operations,Senior,Full-time
NEW00182,2023-06-07,Legal,Junior,Full-time
NEW00183,2023-06-20,Marketing,Senior,Part-time
NEW00184,2024-11-24,Sales,Lead,Full-time
NEW00185,2024-08-31,IT,Manager,Full-time
NEW00186,2024-09-17,Customer Service,Junior,Full-time
NEW00187,2023-08-08,Finance,Junior,Full-time
NEW00188,2024-07-02,Customer Service,Lead,Contract
NEW00189,2023-04-29,HR,Lead,Full-time
NEW00190,2024-12-18,Operations,Mid,Full-time
NEW00191,2024-10-27,HR,Junior,Full-time
NEW00192,2023-08-26,HR,Junior,Full-time
NEW00193,2024-09-13,Operations,Junior,Full-time
NEW00194,2023-12-14,Operations,Junior,Full-time
NEW00195,2023-05-20,HR,Junior,Full-time
NEW00196,2023-07-30,HR,Senior,Full-time
NEW00197,2024-10-13,Operations,Mid,Full-time
NEW00198,2023-03-15,Legal,Senior,Full-time
NEW00199,2023-11-26,Customer Service,Junior,Full-time
NEW00200,2023-12-12,Finance,Junior,Full-time
NEW00201,2023-01-28,Finance,Lead,Part-time
NEW00202,2023-03-27,Sales,Junior,Part-time
NEW00203,2024-10-14,Operations,Junior,Full-time
NEW00204,2023-04-11,Customer Service,Senior,Full-time
NEW00205,2024-01-16,Finance,Senior,Part-time
NEW00206,2024-09-11,Finance,Senior,Temporary
NEW00207,2023-11-17,Legal,Mid,Part-time
NEW00208,2024-05-31,Marketing,Senior,Full-time
NEW00209,2023-03-29,HR,Mid,Full-time
NEW00210,2024-05-03,Marketing,Mid,Contract
NEW00211,2023-03-20,HR,Junior,Part-time
NEW00212,2024-05-28,Finance,Junior,Full-time
NEW00213,2024-06-03,Legal,Mid,Full-time
NEW00214,2023-02-20,Finance,Mid,Contract
NEW00215,2024-01-22,Sales,Mid,Full-time
NEW00216,2024-06-12,Marketing,Mid,Full-time
NEW00217,2024-07-30,Operations,Junior,Full-time
NEW00218,2023-10-03,IT,Director,Full-time
NEW00219,2023-02-20,Sales,Junior,Full-time
NEW00220,2024-08-13,Legal,Senior,Full-time
NEW00221,2023-02-10,Customer Service,Junior,Full-time
NEW00222,2024-02-25,Customer Service,Mid,Part-time
NEW00223,2023-01-18,HR,Junior,Full-time
NEW00224,2023-02-18,Operations,Lead,Full-time
NEW00225,2024-06-25,Operations,Lead,Contract
NEW00226,2023-01-06,Marketing,Mid,Full-time
NEW00227,2024-10-21,HR,Mid,Full-time
NEW00228,2023-09-12,IT,Junior,Part-time
NEW00229,2024-06-25,Operations,Junior,Full-time
NEW00230,2024-11-20,Operations,Junior,Full-time
NEW00231,2024-11-25,Marketing,Senior,Full-time
NEW00232,2024-10-22,Marketing,Mid,Full-time
NEW00233,2023-09-06,Legal,Senior,Full-time
NEW00234,2024-06-25,Legal,Junior,Full-time
NEW00235,2023-09-15,Operations,Mid,Full-time
NEW00236,2024-02-04,Marketing,Manager,Full-time
NEW00237,2023-06-10,Sales,Manager,Full-time
NEW00238,2023-10-25,Finance,Junior,Part-time
NEW00239,2024-11-22,Sales,Junior,Full-time
NEW00240,2023-10-28,IT,Manager,Contract
NEW00241,2023-01-24,Operations,Mid,Full-time
NEW00242,2023-10-14,Marketing,Mid,Temporary
NEW00243,2024-06-27,Finance,Senior,Part-time
NEW00244,2024-01-13,IT,Mid,Full-time
NEW00245,2023-07-02,Marketing,Junior,Temporary
NEW00246,2024-04-21,Finance,Mid,Full-time
NEW00247,2023-10-24,Finance,Director,Full-time
NEW00248,2023-07-29,IT,Junior,Part-time
NEW00249,2023-12-30,IT,Senior,Full-time
NEW00250,2023-11-19,Operations,Junior,Full-time
NEW00251,2023-05-25,Operations,Junior,Part-time
NEW00252,2024-04-10,Customer Service,Senior,Part-time
NEW00253,2024-07-11,Finance,Mid,Full-time
NEW00254,2024-08-30,Operations,Mid,Full-time
NEW00255,2023-08-10,HR,Mid,Full-time
NEW00256,2023-08-20,Finance,Lead,Contract
NEW00257,2023-03-20,Operations,Lead,Full-time
NEW00258,2024-06-01,Customer Service,Senior,Full-time
NEW00259,2024-02-03,Operations,Mid,Full-time
NEW00260,2024-02-21,Finance,Junior,Full-time
NEW00261,2023-01-28,Finance,Mid,Full-time
NEW00262,2024-02-29,Operations,Mid,Part-time
NEW00263,2024-06-20,Finance,Junior,Full-time
NEW00264,2024-04-28,Customer Service,Junior,Full-time
NEW00265,2024-09-02,Operations,Manager,Contract
NEW00266,2023-01-04,IT,Junior,Full-time
NEW00267,2023-12-21,HR,Lead,Full-time
NEW00268,2024-09-10,Operations,Senior,Contract
NEW00269,2024-10-16,Marketing,Junior,Full-time
NEW00270,2023-08-25,Legal,Mid,Full-time
NEW00271,2023-01-28,HR,Senior,Full-time
NEW00272,2023-06-24,HR,Manager,Full-time
NEW00273,2024-06-01,HR,Junior,Full-time
NEW00274,2023-12-10,Sales,Mid,Full-time
NEW00275,2023-02-07,Marketing,Junior,Full-time
NEW00276,2023-02-13,Sales,Mid,Part-time
NEW00277,2023-12-12,IT,Mid,Full-time
NEW00278,2024-03-21,Finance,Mid,Full-time
NEW00279,2023-05-12,Legal,Senior,Full-time
NEW00280,2023-02-13,IT,Lead,Full-time
NEW00281,2023-07-28,Sales,Junior,Contract
NEW00282,2023-04-01,Finance,Junior,Full-time
NEW00283,2023-03-16,Sales,Manager,Full-time
NEW00284,2023-06-29,IT,Junior,Full-time
NEW00285,2023-02-23,Legal,Mid,Full-time
NEW00286,2024-08-08,Operations,Mid,Part-time
NEW00287,2024-03-10,HR,Mid,Temporary
NEW00288,2023-09-28,Marketing,Senior,Full-time
NEW00289,2023-09-05,Marketing,Lead,Full-time
NEW00290,2024-06-24,Customer Service,Senior,Full-time
NEW00291,2023-09-01,Customer Service,Lead,Contract
NEW00292,2024-06-25,HR,Mid,Full-time
NEW00293,2024-10-22,Sales,Mid,Full-time
NEW00294,2023-04-15,Sales,Mid,Full-time
NEW00295,2024-09-12,Finance,Mid,Temporary
NEW00296,2024-08-17,Operations,Senior,Full-time
NEW00297,2023-07-06,Finance,Senior,Full-time
NEW00298,2023-09-19,HR,Mid,Full-time
NEW00299,2024-08-09,Legal,Senior,Full-time
NEW00300,2024-01-20,Marketing,Senior,Full-time
NEW00301,2024-09-06,Customer Service,Junior,Full-time
NEW00302,2023-05-29,Sales,Mid,Full-time
NEW00303,2024-08-05,IT,Junior,Full-time
NEW00304,2023-10-29,Finance,Senior,Contract
NEW00305,2024-08-06,IT,Manager,Contract
NEW00306,2023-04-21,HR,Senior,Part-time
NEW00307,2023-08-17,Marketing,Senior,Part-time
NEW00308,2024-03-16,Legal,Mid,Temporary
NEW00309,2023-02-26,Legal,Mid,Full-time
NEW00310,2024-07-25,Customer Service,Junior,Full-time
NEW00311,2024-04-13,Legal,Manager,Full-time
NEW00312,2024-03-28,HR,Senior,Full-time
NEW00313,2023-08-22,IT,Junior,Full-time
NEW00314,2024-01-06,IT,Lead,Full-time
NEW00315,2024-11-04,Finance,Senior,Temporary
NEW00316,2023-01-04,Sales,Manager,Contract
NEW00317,2023-05-01,HR,Lead,Full-time
NEW00318,2024-03-20,Sales,Junior,Part-time
NEW00319,2023-05-31,Legal,Mid,Full-time
NEW00320,2024-11-23,HR,Mid,Full-time
NEW00321,2024-07-17,Legal,Mid,Full-time
NEW00322,2024-10-07,Operations,Lead,Full-time
NEW00323,2024-07-29,Customer Service,Senior,Full-time
NEW00324,2024-12-03,HR,Senior,Part-time
NEW00325,2023-11-18,Sales,Director,Part-time
NEW00326,2023-09-15,IT,Senior,Full-time
NEW00327,2023-06-02,IT,Mid,Part-time
NEW00328,2024-06-05,Marketing,Mid,Full-time
NEW00329,2023-01-31,HR,Mid,Full-time
NEW00330,2023-01-07,Legal,Mid,Contract
NEW00331,2024-02-03,Operations,Director,Full-time
NEW00332,2024-02-01,IT,Junior,Full-time
NEW00333,2024-09-18,Sales,Senior,Part-time
NEW00334,2023-01-27,Finance,Manager,Full-time
NEW00335,2023-02-27,Marketing,Junior,Full-time
NEW00336,2023-03-16,Sales,Junior,Full-time
NEW00337,2023-07-01,IT,Lead,Contract
NEW00338,2024-10-19,Legal,Mid,Full-time
NEW00339,2024-01-13,IT,Mid,Full-time
NEW00340,2024-05-22,Customer Service,Mid,Full-time
NEW00341,2023-06-16,Finance,Senior,Full-time
NEW00342,2023-05-24,Legal,Senior,Full-time
NEW00343,2023-05-14,HR,Junior,Full-time
NEW00344,2023-04-05,Customer Service,Senior,Part-time
NEW00345,2024-01-29,Finance,Director,Full-time
NEW00346,2024-09-08,Operations,Senior,Full-time
NEW00347,2024-02-11,Marketing,Junior,Full-time
NEW00348,2023-07-27,Customer Service,Junior,Contract
NEW00349,2023-11-18,Sales,Senior,Full-time
NEW00350,2023-12-20,Legal,Junior,Full-time
NEW00351,2023-03-23,Customer Service,Junior,Part-time
NEW00352,2023-06-18,Operations,Junior,Full-time
NEW00353,2024-01-24,Operations,Junior,Full-time
NEW00354,2024-06-09,Sales,Junior,Full-time
NEW00355,2024-08-10,Sales,Junior,Full-time
NEW00356,2024-04-03,Operations,Lead,Full-time
NEW00357,2023-11-11,Marketing,Mid,Part-time
NEW00358,2023-06-22,Sales,Junior,Contract
NEW00359,2023-10-29,Finance,Manager,Full-time
NEW00360,2023-10-10,Marketing,Director,Full-time
NEW00361,2023-07-29,Marketing,Senior,Full-time
NEW00362,2024-07-01,Operations,Lead,Contract
NEW00363,2024-05-26,HR,Lead,Full-time
NEW00364,2023-06-15,Operations,Lead,Contract
NEW00365,2024-08-26,HR,Junior,Full-time
NEW00366,2024-06-15,Legal,Junior,Full-time
NEW00367,2024-05-18,Customer Service,Junior,Full-time
NEW00368,2023-08-26,IT,Lead,Part-time
NEW00369,2023-07-01,Sales,Mid,Full-time
NEW00370,2024-08-09,Customer Service,Manager,Full-time
NEW00371,2024-12-20,Legal,Mid,Contract
NEW00372,2023-05-02,Customer Service,Mid,Full-time
NEW00373,2024-05-23,IT,Lead,Full-time
NEW00374,2023-05-31,Finance,Junior,Full-time
NEW00375,2024-07-07,HR,Junior,Part-time
NEW00376,2023-07-04,IT,Mid,Full-time
NEW00377,2023-06-13,Operations,Director,Full-time
NEW00378,2024-11-06,Sales,Junior,Full-time
NEW00379,2024-04-03,Operations,Mid,Full-time
NEW00380,2023-06-03,Operations,Mid,Part-time
NEW00381,2023-06-28,Operations,Director,Full-time
NEW00382,2024-08-04,Legal,Manager,Part-time
NEW00383,2023-02-10,Marketing,Junior,Full-time
NEW00384,2024-07-08,Marketing,Senior,Contract
NEW00385,2023-06-12,HR,Lead,Full-time
NEW00386,2023-12-05,Finance,Manager,Full-time
NEW00387,2023-08-24,Legal,Manager,Full-time
NEW00388,2024-12-09,Marketing,Mid,Full-time
NEW00389,2023-05-14,Marketing,Lead,Full-time
NEW00390,2024-09-16,Operations,Mid,Full-time
NEW00391,2024-04-07,Customer Service,Manager,Part-time
NEW00392,2023-02-06,Customer Service,Junior,Contract
NEW00393,2023-08-29,Legal,Mid,Full-time
NEW00394,2024-07-06,HR,Junior,Full-time
NEW00395,2023-10-09,Legal,Senior,Temporary
NEW00396,2023-03-07,Customer Service,Mid,Full-time
NEW00397,2024-01-29,HR,Lead,Full-time
NEW00398,2024-03-22,Customer Service,Senior,Full-time
NEW00399,2023-05-13,Sales,Mid,Full-time
NEW00400,2023-02-09,Sales,Mid,Full-time
NEW00401,2024-10-20,HR,Mid,Part-time
NEW00402,2024-01-13,Finance,Mid,Contract
NEW00403,2024-11-10,Sales,Senior,Full-time
NEW00404,2024-09-26,Sales,Mid,Full-time
NEW00405,2023-02-01,Operations,Junior,Contract
NEW00406,2023-06-30,Sales,Lead,Full-time
NEW00407,2023-07-06,Legal,Mid,Full-time
NEW00408,2023-05-24,Sales,Senior,Full-time
NEW00409,2023-07-10,IT,Mid,Full-time
NEW00410,2024-06-29,Marketing,Senior,Part-time
NEW00411,2023-08-16,IT,Mid,Contract
NEW00412,2024-08-09,Operations,Junior,Full-time
NEW00413,2023-03-23,Sales,Junior,Part-time
NEW00414,2024-05-09,HR,Lead,Full-time
NEW00415,2023-06-21,HR,Mid,Full-time
NEW00416,2024-12-12,IT,Junior,Full-time
NEW00417,2024-12-03,Sales,Junior,Contract
NEW00418,2024-05-31,Operations,Mid,Full-time
NEW00419,2024-01-10,Finance,Manager,Full-time
NEW00420,2023-09-27,Legal,Manager,Full-time
NEW00421,2023-01-17,Sales,Senior,Part-time
NEW00422,2023-10-22,Marketing,Junior,Full-time
NEW00423,2024-10-05,Operations,Lead,Contract
NEW00424,2024-08-13,Operations,Lead,Full-time
NEW00425,2024-05-07,Customer Service,Junior,Full-time
NEW00426,2024-12-22,Sales,Mid,Full-time
NEW00427,2023-02-08,Operations,Senior,Full-time
NEW00428,2023-11-11,Operations,Junior,Full-time
NEW00429,2023-12-01,Sales,Junior,Full-time
NEW00430,2023-06-27,Sales,Mid,Full-time
NEW00431,2024-03-05,Customer Service,Senior,Temporary
NEW00432,2023-04-10,IT,Senior,Full-time
NEW00433,2023-11-21,Finance,Junior,Full-time
NEW00434,2023-06-03,Operations,Junior,Part-time
NEW00435,2023-03-31,Finance,Senior,Full-time
NEW00436,2024-01-28,Operations,Mid,Full-time
NEW00437,2024-07-28,Finance,Mid,Part-time
NEW00438,2024-05-04,Finance,Junior,Full-time
NEW00439,2024-06-10,Sales,Mid,Contract
NEW00440,2023-12-05,Legal,Mid,Temporary
NEW00441,2024-08-20,Legal,Senior,Full-time
NEW00442,2024-03-28,Marketing,Junior,Full-time
NEW00443,2024-05-19,Sales,Mid,Temporary
NEW00444,2024-11-16,Marketing,Mid,Full-time
NEW00445,2024-08-25,Legal,Manager,Part-time
NEW00446,2023-11-21,Marketing,Junior,Full-time
NEW00447,2024-09-21,Operations,Manager,Part-time
NEW00448,2024-03-14,Sales,Junior,Contract
NEW00449,2023-01-07,Finance,Junior,Part-time
NEW00450,2024-01-17,IT,Mid,Contract
NEW00451,2023-03-16,IT,Junior,Contract
NEW00452,2023-04-29,Sales,Lead,Full-time
NEW00453,2023-01-06,Sales,Junior,Full-time
NEW00454,2023-07-28,Legal,Mid,Full-time
NEW00455,2023-04-13,Marketing,Junior,Contract
NEW00456,2024-06-21,Legal,Junior,Full-time
NEW00457,2024-05-17,HR,Mid,Contract
NEW00458,2023-08-16,Legal,Mid,Full-time
NEW00459,2024-03-27,Marketing,Mid,Full-time
NEW00460,2023-01-07,HR,Junior,Full-time
NEW00461,2024-12-21,HR,Lead,Full-time
NEW00462,2023-03-13,IT,Senior,Full-time
NEW00463,2024-07-10,Operations,Senior,Full-time
NEW00464,2023-03-06,HR,Junior,Full-time
NEW00465,2024-10-22,Finance,Mid,Full-time
NEW00466,2023-03-02,Legal,Senior,Contract
NEW00467,2024-06-16,IT,Mid,Full-time
NEW00468,2023-07-28,Customer Service,Junior,Full-time
NEW00469,2024-04-27,Legal,Mid,Full-time
NEW00470,2024-04-11,HR,Senior,Contract
NEW00471,2024-05-06,Customer Service,Junior,Part-time
NEW00472,2024-01-07,Marketing,Mid,Full-time
NEW00473,2024-08-07,Finance,Junior,Full-time
NEW00474,2024-06-07,Customer Service,Junior,Full-time
NEW00475,2023-09-04,Operations,Junior,Full-time
NEW00476,2023-07-06,Customer Service,Manager,Full-time
NEW00477,2023-06-29,Operations,Mid,Full-time
NEW00478,2024-03-29,IT,Lead,Full-time
NEW00479,2023-07-10,Finance,Junior,Full-time
NEW00480,2024-08-13,IT,Senior,Contract
NEW00481,2023-04-14,Legal,Senior,Full-time
NEW00482,2024-08-22,Operations,Mid,Full-time
NEW00483,2024-07-17,HR,Junior,Full-time
NEW00484,2024-10-30,Sales,Senior,Full-time
NEW00485,2024-08-14,IT,Junior,Contract
NEW00486,2023-10-01,Legal,Junior,Part-time
NEW00487,2024-04-19,Customer Service,Junior,Part-time
NEW00488,2023-10-24,IT,Manager,Full-time
NEW00489,2023-09-25,Marketing,Mid,Temporary
NEW00490,2024-05-25,Operations,Junior,Full-time
NEW00491,2024-08-19,Customer Service,Junior,Full-time
NEW00492,2024-03-26,Operations,Junior,Full-time
NEW00493,2024-11-13,Customer Service,Senior,Contract
NEW00494,2023-04-26,IT,Mid,Contract
NEW00495,2023-12-01,HR,Mid,Full-time
NEW00496,2024-06-15,IT,Junior,Full-time
NEW00497,2024-11-22,Operations,Junior,Full-time
NEW00498,2023-02-25,IT,Junior,Contract
NEW00499,2023-09-29,Customer Service,Mid,Contract
